date,price,market_cap,volume
2024-04-03 00:00:00,1.888228399903643e-05,35944087.74076905,4553716.319406312
2024-04-04 00:00:00,1.8891522865769852e-05,36131408.346336104,3635866.4358791783
2024-04-05 00:00:00,1.7278159150966785e-05,32994567.104335375,4093356.5330552044
2024-04-06 00:00:00,1.626438546663275e-05,31012096.272842333,3802606.5727353366
2024-04-07 00:00:00,1.8454933625003686e-05,35323646.34963023,3819170.381335802
2024-04-08 00:00:00,1.8296117079780863e-05,34961108.422010615,4157577.256117973
2024-04-09 00:00:00,1.9560193942234464e-05,37421371.72855182,2049918.0307943902
2024-04-10 00:00:00,1.8354997027848968e-05,35043611.34521344,4743041.359154013
2024-04-11 00:00:00,1.7861632318922588e-05,34128183.546335064,4613459.2692448115
2024-04-12 00:00:00,1.715455842453624e-05,32885091.70432226,7897096.7163021285
2024-04-13 00:00:00,1.5335883642165114e-05,29542766.70089329,7417442.055973375
2024-04-14 00:00:00,1.3616645690215498e-05,26426500.072754648,5401645.355095084
2024-04-15 00:00:00,1.437934712605442e-05,27665399.01689677,6033570.843913909
2024-04-16 00:00:00,1.3970978415370428e-05,26852483.31214547,4713507.439720322
2024-04-17 00:00:00,1.359237908693788e-05,26146566.65318846,4693361.912853138
2024-04-18 00:00:00,1.3250868022479141e-05,25515971.770543933,4716379.895955865
2024-04-19 00:00:00,1.2904654967636898e-05,24888136.58280486,5163858.16335515
2024-04-20 00:00:00,1.2634636658430988e-05,24328133.702124193,3508978.073526279
2024-04-21 00:00:00,1.3122179787337178e-05,25292627.71117426,5604108.072233779
2024-04-22 00:00:00,1.3026840170141765e-05,25156802.946742192,5543016.868766891
2024-04-23 00:00:00,1.300562496154107e-05,25120928.401659153,4104003.149137654
2024-04-24 00:00:00,1.3477506329978585e-05,26002690.682480983,5624729.214814066
2024-04-25 00:00:00,1.3224488224752509e-05,25696171.87112524,5655373.0251136
2024-04-26 00:00:00,1.3314115854414886e-05,25772994.749344263,4391872.315277386
2024-04-27 00:00:00,1.2893899372234528e-05,25100911.485954084,5264932.498735409
2024-04-28 00:00:00,1.3245338082630152e-05,25785741.265520636,5255563.6175564
2024-04-29 00:00:00,1.3354364505239285e-05,25917390.05784437,5396780.988338601
2024-04-30 00:00:00,1.2644750805826505e-05,24530865.48939248,5089299.107112088
2024-05-01 00:00:00,1.1580299958317005e-05,22529298.81979999,5148528.891914085
2024-05-02 00:00:00,1.3511244043726132e-05,26778378.023112673,5086798.844394356
2024-05-03 00:00:00,1.3309871679222673e-05,26054785.840050727,5452762.462012131
2024-05-04 00:00:00,1.3630758817035748e-05,26701692.6530286,5551738.236793578
2024-05-05 00:00:00,1.3397352357249234e-05,26461233.363511104,5803287.971105329
2024-05-06 00:00:00,1.3137406944809635e-05,25692231.042138815,5601211.844461785
2024-05-07 00:00:00,1.2475685324169652e-05,24322454.281523854,5194755.822529927
2024-05-08 00:00:00,1.2406213886409026e-05,24276451.605521966,5360837.586735459
2024-05-09 00:00:00,1.2222123803612203e-05,23917531.979931768,4668510.844583852
2024-05-10 00:00:00,1.2478094805513178e-05,24413704.141530287,4400586.312222478
2024-05-11 00:00:00,1.1763224091249018e-05,23004108.10427522,3771646.18413901
2024-05-12 00:00:00,1.2332761716690973e-05,24260675.795384977,3542914.9297057297
2024-05-13 00:00:00,1.2473495697379171e-05,24541978.509902082,2814097.100157708
2024-05-14 00:00:00,1.2090335618622472e-05,23763443.7060316,2656560.5505839745
2024-05-15 00:00:00,1.1703496544565049e-05,23000083.29924351,2468976.860983698
2024-05-16 00:00:00,1.2425757394350837e-05,24469636.31953083,2694319.233331509
2024-05-17 00:00:00,1.2086712945818373e-05,23753389.90950665,2563707.284544025
2024-05-18 00:00:00,1.1992741939366915e-05,23671067.892555904,1575787.9266810322
2024-05-19 00:00:00,1.2298673212269905e-05,24201070.359504938,1571232.1146361972
2024-05-20 00:00:00,1.1975497891209516e-05,23552304.5234891,2296282.958387264
2024-05-21 00:00:00,1.2164314713349964e-05,24002458.252346598,2442379.4291778286
2024-05-22 00:00:00,1.2624881832628088e-05,24827752.16519842,2649089.7011752846
2024-05-23 00:00:00,1.227699154333194e-05,24177256.51140507,2563168.36434685
2024-05-24 00:00:00,1.2345376574876247e-05,24417342.035774373,2059943.7139354756
2024-05-25 00:00:00,1.2583184417078045e-05,24673782.94003082,2665195.921686433
2024-05-26 00:00:00,1.2572240794677379e-05,24704047.528237805,2557389.8985965704
2024-05-27 00:00:00,1.1231829141331737e-05,22285331.06157877,2041719.931343414
2024-05-28 00:00:00,1.1390057465937253e-05,22335215.66074847,2490500.7191213393
2024-05-29 00:00:00,1.1146532201256687e-05,21862048.217393134,2359019.188151464
2024-05-30 00:00:00,1.1072807558110405e-05,21710223.673279203,2196593.2355736317
2024-05-31 00:00:00,1.038582944305125e-05,20343482.852436338,1090509.8292621307
2024-06-01 00:00:00,1.049976501142253e-05,20561024.18947018,2140232.850364296
2024-06-02 00:00:00,1.0136221144868186e-05,19806554.18197941,2182636.314611177
2024-06-03 00:00:00,1.097998516559093e-05,21360274.797711745,1694442.6861765373
