date,price,market_cap,volume
2024-04-03 00:00:00,2.1296305072528561e-07,84297635.84893546,2226047.6186474217
2024-04-04 00:00:00,2.1197947866277388e-07,83974032.38664739,2402473.1768563734
2024-04-05 00:00:00,2.120948228185205e-07,83893495.87598573,2162456.3233071803
2024-04-06 00:00:00,2.0094298432743355e-07,79630807.08861622,2169986.7951265704
2024-04-07 00:00:00,2.0219745326818053e-07,79874150.98436669,2248800.181710509
2024-04-08 00:00:00,2.0406551519386857e-07,80920132.76285987,2210506.1179835303
2024-04-09 00:00:00,2.1297339567002258e-07,84096077.06350322,2021825.9792274383
2024-04-10 00:00:00,2.0510962520346484e-07,81349556.91003607,2153285.57795615
2024-04-11 00:00:00,1.9981581326247235e-07,79057026.96844856,2135967.7030516462
2024-04-12 00:00:00,1.9879944288045702e-07,78593164.55040763,2215555.7517409283
2024-04-13 00:00:00,1.8724615128538785e-07,74105026.62681061,2557534.450238692
2024-04-14 00:00:00,1.668135562173458e-07,66128280.57332811,2285696.4416507394
2024-04-15 00:00:00,1.6938454325187188e-07,66964654.08175303,2305125.0994087583
2024-04-16 00:00:00,1.6884447588173486e-07,66714550.78191353,2325089.9100978053
2024-04-17 00:00:00,1.6908913960146334e-07,66939887.44817076,2076823.8901690624
2024-04-18 00:00:00,1.6377357912015067e-07,64680349.73288266,2017555.6412601057
2024-04-19 00:00:00,1.7080475799210208e-07,67565370.68484265,1926846.9788141341
2024-04-20 00:00:00,1.813555429333706e-07,71759247.64101778,2191367.765184599
2024-04-21 00:00:00,1.852040234699777e-07,73247819.9580239,2066853.6933526671
2024-04-22 00:00:00,1.8079173567954445e-07,71215901.98469965,2198680.688858884
2024-04-23 00:00:00,1.8488484685740383e-07,73370570.30637176,2387590.5121026044
2024-04-24 00:00:00,1.792519269707033e-07,70825729.45340896,2132289.138214118
2024-04-25 00:00:00,1.7067299282175175e-07,67672523.12437351,2280748.9246155866
2024-04-26 00:00:00,1.702954587659886e-07,67421920.62824635,2055014.5598856474
2024-04-27 00:00:00,1.611243521457507e-07,63791458.67943913,2114613.0322214337
2024-04-28 00:00:00,1.5989759015406835e-07,63414489.28914672,2069484.0814037416
2024-04-29 00:00:00,1.601446121508084e-07,63479589.66154618,2080931.4977205559
2024-04-30 00:00:00,1.5559654663343618e-07,61650501.384228386,1847702.9163774496
2024-05-01 00:00:00,1.518077567216423e-07,60127343.93258555,2030178.9666246348
2024-05-02 00:00:00,1.4982488175680173e-07,59325655.67161939,1974961.2073303019
2024-05-03 00:00:00,1.5140163260544315e-07,59926103.850564405,1929352.0476839838
2024-05-04 00:00:00,1.564183935231594e-07,61918200.849827565,2019051.8337389221
2024-05-05 00:00:00,1.5500376960849893e-07,61303829.41309467,2021539.274058344
2024-05-06 00:00:00,1.5523590583515868e-07,61425463.94956243,1932523.4198910764
2024-05-07 00:00:00,1.5266476844561848e-07,60485800.42578863,2020700.324202228
2024-05-08 00:00:00,1.4901919378051323e-07,58937508.72090259,1904679.2852250927
2024-05-09 00:00:00,1.4849365036150808e-07,58740107.367969714,1854565.556926587
2024-05-10 00:00:00,1.5005020052804146e-07,59356600.09136761,1811913.494590422
2024-05-11 00:00:00,1.4864967957990112e-07,58814244.79118175,1721719.7636072915
2024-05-12 00:00:00,1.4960611534086707e-07,59209860.887203075,1552880.0747410727
2024-05-13 00:00:00,1.493601761009987e-07,59063568.42160405,1636895.8357598234
2024-05-14 00:00:00,1.4825515192156416e-07,58660382.61607434,1813006.8923583645
2024-05-15 00:00:00,1.4559496322710287e-07,57662204.618954696,1822179.9386600128
2024-05-16 00:00:00,1.5241634636070167e-07,60221780.67987691,1909638.3381750206
2024-05-17 00:00:00,1.5138348306810574e-07,59894220.18510927,1748270.8479358533
2024-05-18 00:00:00,1.5070087418737868e-07,59582367.13788057,1659560.6141280103
2024-05-19 00:00:00,1.506371116744862e-07,59587015.27826201,1845576.6278421427
2024-05-20 00:00:00,1.4834111774485967e-07,58660546.60283236,1732891.469192241
2024-05-21 00:00:00,1.5354466971443672e-07,60758634.99764117,1886762.8212613799
2024-05-22 00:00:00,1.605778225411805e-07,63459446.443996966,2174666.885776823
2024-05-23 00:00:00,1.5978408130433745e-07,63229161.656073056,1859331.6797809305
2024-05-24 00:00:00,1.5933664414846388e-07,63141771.08663121,2056829.5748700097
2024-05-25 00:00:00,1.6057841065605587e-07,63544362.40827219,1932084.7837562885
2024-05-26 00:00:00,1.6012612687870957e-07,63302283.97410629,1945779.8567389636
2024-05-27 00:00:00,1.575111752903588e-07,62351006.39432151,1819225.2882123552
2024-05-28 00:00:00,1.5722370999773658e-07,62199648.89809234,1926316.1098003983
2024-05-29 00:00:00,1.58059391250358e-07,62553048.81744078,1775336.7004794097
2024-05-30 00:00:00,1.7681309850261884e-07,69949660.40692933,2684238.154901299
