date,price,market_cap,volume
2024-04-03 00:00:00,4.24785744595342e-06,295510628.9792857,17077812.526092872
2024-04-04 00:00:00,4.0436308932227585e-06,281248328.2371742,14136877.375444822
2024-04-05 00:00:00,4.19241708621108e-06,290286464.0971282,18259265.335704654
2024-04-06 00:00:00,4.04553036423485e-06,280075618.1183858,16279831.336695625
2024-04-07 00:00:00,4.147690322677135e-06,288229709.8204542,8999212.612983584
2024-04-08 00:00:00,4.169693842966394e-06,289701174.56565094,8247148.240202174
2024-04-09 00:00:00,4.096201061852056e-06,283938687.277261,12653052.535533046
2024-04-10 00:00:00,3.652894175986213e-06,253233897.34488913,10157961.208949313
2024-04-11 00:00:00,3.6612062097292295e-06,254570416.02486733,19267540.722399395
2024-04-12 00:00:00,3.476479615920516e-06,240937225.88206136,9718187.454196088
2024-04-13 00:00:00,2.9837099579607674e-06,207060774.40629217,14319894.605995059
2024-04-14 00:00:00,2.5007071169645927e-06,173800537.21918014,12966235.138342684
2024-04-15 00:00:00,2.845556186408466e-06,198513746.6535907,11232413.534749985
2024-04-16 00:00:00,2.595212718319327e-06,180170943.06937653,7987473.777391062
2024-04-17 00:00:00,2.5324648038894674e-06,175796568.5355905,8199681.105893836
2024-04-18 00:00:00,2.4729085641767248e-06,171623980.76318994,5540512.927009732
2024-04-19 00:00:00,2.7391772556780653e-06,189658748.56707984,4862904.5724185305
2024-04-20 00:00:00,2.526037352867649e-06,175318661.7923107,7129465.392894323
2024-04-21 00:00:00,2.95798420864107e-06,205776592.73323688,6372049.392050389
2024-04-22 00:00:00,2.839284284259028e-06,197149145.59448725,7110604.152301348
2024-04-23 00:00:00,3.1380442473953483e-06,217728674.46664214,6702312.662359031
2024-04-24 00:00:00,2.96817767913035e-06,205839233.61943832,5617277.555846635
2024-04-25 00:00:00,2.743349031666297e-06,190381643.65117016,7979231.088829351
2024-04-26 00:00:00,2.6133086116107608e-06,181470645.07480237,5257746.748086652
2024-04-27 00:00:00,2.53431986704788e-06,175775370.0018298,4143858.911350714
2024-04-28 00:00:00,3.203050565875053e-06,221778947.67146182,14880708.23045219
2024-04-29 00:00:00,3.2058183561525807e-06,222144112.7221122,25214145.16986311
2024-04-30 00:00:00,3.0904223164292307e-06,215304360.3575317,11426119.541343631
2024-05-01 00:00:00,2.7826427640205244e-06,193439419.18852553,8635578.693643758
2024-05-02 00:00:00,2.753311091886129e-06,192091600.12721035,7825562.44938861
2024-05-03 00:00:00,2.6751423436299443e-06,185715344.84027335,5552884.059700867
2024-05-04 00:00:00,2.825470184907222e-06,196670187.62083218,6332416.648494747
2024-05-05 00:00:00,3.048318130637787e-06,211643291.3178651,8677383.858815055
2024-05-06 00:00:00,2.9264111645906487e-06,203081019.92967573,5687192.363810715
2024-05-07 00:00:00,2.7381857065561783e-06,190179847.73392966,7427374.293396238
2024-05-08 00:00:00,2.5897609456071624e-06,179746021.0546422,6638449.3026938215
2024-05-09 00:00:00,2.4502925586713612e-06,170064868.91604507,6526097.527920558
2024-05-10 00:00:00,2.5871523282955898e-06,179635967.46897793,6714945.955124416
2024-05-11 00:00:00,2.4892563067615086e-06,172855893.4605907,5169818.342215767
2024-05-12 00:00:00,2.4719223311146334e-06,171606061.3998596,3599567.3559219446
2024-05-13 00:00:00,2.4624814656217024e-06,170391171.81952816,3135135.6178924995
2024-05-14 00:00:00,2.4372183099891252e-06,169211387.90144134,5968898.541533589
2024-05-15 00:00:00,2.257490558885834e-06,156676369.40853423,5794064.126998708
2024-05-16 00:00:00,2.662709533489934e-06,185294678.92175207,7934128.062139956
2024-05-17 00:00:00,2.491602204694277e-06,173148964.0804864,5782202.732980996
2024-05-18 00:00:00,2.595560618821346e-06,180106226.23787543,5313391.471054876
2024-05-19 00:00:00,2.9604552292300927e-06,205895791.67027363,14340539.113410957
2024-05-20 00:00:00,2.815129708566953e-06,195049266.20514783,8959707.776297696
2024-05-21 00:00:00,3.0802658736751024e-06,213927771.52234077,11053943.537783952
2024-05-22 00:00:00,2.9701094319872124e-06,206483688.28637803,9170697.059934879
2024-05-23 00:00:00,2.8336845661289762e-06,196541367.89090756,7874620.514885728
2024-05-24 00:00:00,2.814629041574957e-06,195212140.1990609,8340534.04359301
2024-05-25 00:00:00,2.7830896154130385e-06,193294741.65507647,6499844.451934594
2024-05-26 00:00:00,2.8242195816119163e-06,196114717.34491885,5820299.55946407
2024-05-27 00:00:00,2.697780354392356e-06,187270259.9692011,5700691.678527986
2024-05-28 00:00:00,2.8844394886228534e-06,200070859.17070928,9700083.547392545
2024-05-29 00:00:00,2.95587066335582e-06,204871371.3715513,12615660.436570028
2024-05-30 00:00:00,3.0395714433414122e-06,210945397.39855018,17622749.47480073
2024-05-31 00:00:00,2.933148283252728e-06,203647000.89679638,7268355.964749854
2024-06-01 00:00:00,2.9840654529546984e-06,207046757.606675,6670231.903719838
2024-06-02 00:00:00,2.922528600883604e-06,202899711.46136308,6676485.385012969
2024-06-03 00:00:00,2.6802804371644494e-06,186136486.5780329,8456864.044032961
2024-06-04 00:00:00,2.6711421485275475e-06,185314726.50462443,6476740.949828778
2024-06-05 00:00:00,2.6579289687263134e-06,184558105.3349371,6324263.174909801
2024-06-06 00:00:00,2.7184427695145477e-06,188863282.64271107,7706058.905543854
2024-06-07 00:00:00,2.558509798064196e-06,178024145.25125942,5737994.209390339
2024-06-08 00:00:00,2.297503338284144e-06,159416799.09478274,11465241.708647227
2024-06-09 00:00:00,2.103961615469682e-06,146084286.71130323,7458453.16654237
