date,price,market_cap,volume
2024-04-03 00:00:00,1.970294197201921e-07,174977264.0640277,21879226.14665348
2024-04-04 00:00:00,1.8546290227939844e-07,164777342.2886518,11311388.880147776
2024-04-05 00:00:00,1.9229991515086782e-07,170764157.9552713,10212757.720744126
2024-04-06 00:00:00,1.9193461568788346e-07,171017359.30567354,8318925.767989184
2024-04-07 00:00:00,2.069967187998032e-07,184213982.65252277,9461646.656231329
2024-04-08 00:00:00,2.2300491923800366e-07,197529404.9132763,10414438.20381032
2024-04-09 00:00:00,2.3689802122209226e-07,210618431.07255527,16362756.670996219
2024-04-10 00:00:00,2.0001765093065306e-07,177687601.27634215,10701820.309916275
2024-04-11 00:00:00,2.0089469714522278e-07,178419946.58917013,8996848.594493639
2024-04-12 00:00:00,1.9254942897773577e-07,170537179.91784206,8294264.571493864
2024-04-13 00:00:00,1.5060650503836485e-07,133683286.46496996,21296501.344855223
2024-04-14 00:00:00,1.27624839166953e-07,113048399.51597443,15911166.752648063
2024-04-15 00:00:00,1.5090470766942569e-07,134409675.47146577,10152003.784410242
2024-04-16 00:00:00,1.4311066987348476e-07,126721181.49131846,10627301.50616427
2024-04-17 00:00:00,1.4595244323710827e-07,129518184.61242855,6580178.580095611
2024-04-18 00:00:00,1.369567429063788e-07,121795525.02674766,6066900.67719099
2024-04-19 00:00:00,1.7206226953252018e-07,153418790.294055,13287234.406706646
2024-04-20 00:00:00,1.6794616316357077e-07,149465014.75819957,13371047.380070254
2024-04-21 00:00:00,1.9895336511795307e-07,176378533.21367708,12916439.234242264
2024-04-22 00:00:00,2.047677468565678e-07,181703157.742546,10634553.1051658
2024-04-23 00:00:00,2.199513556637404e-07,194627893.69534972,14206235.053455625
2024-04-24 00:00:00,2.1295508076248923e-07,188866756.50803766,14078557.883852035
2024-04-25 00:00:00,1.9619948046386369e-07,173799183.98439106,12986644.510649843
2024-04-26 00:00:00,2.0123495977488326e-07,179394226.66145757,9389338.989792963
2024-04-27 00:00:00,1.745870264648835e-07,155454946.3722021,11739717.158937592
2024-04-28 00:00:00,1.709519204886906e-07,151644393.00555676,10419131.149330055
2024-04-29 00:00:00,1.6425268158304779e-07,145720943.6782677,10239827.724294655
2024-04-30 00:00:00,1.683612111587776e-07,150348955.7106465,8765246.685242886
2024-05-01 00:00:00,1.524908769779941e-07,136197390.04899678,8309809.40545316
2024-05-02 00:00:00,1.501533247249725e-07,133999963.77520311,8571396.484500505
2024-05-03 00:00:00,1.5591944911546462e-07,138533293.77931288,7793210.057531386
2024-05-04 00:00:00,1.6556734384936937e-07,146966884.27148524,7702348.925197033
2024-05-05 00:00:00,1.743673223893618e-07,154751604.83832443,8707535.012888512
2024-05-06 00:00:00,1.656808894274534e-07,147011191.29423022,6939420.2075926885
2024-05-07 00:00:00,1.6494239086965845e-07,146714906.50783634,10224112.490316432
2024-05-08 00:00:00,1.548477440266694e-07,137460422.02490363,6814825.600966689
2024-05-09 00:00:00,1.465634075962583e-07,129931759.03952944,7031582.567930351
2024-05-10 00:00:00,1.549966242755378e-07,137739030.95295104,7334755.7855595825
2024-05-11 00:00:00,1.509329722858668e-07,134145212.03316613,7253140.380139245
2024-05-12 00:00:00,1.5390307263202078e-07,136701484.43612608,5752924.117562836
2024-05-13 00:00:00,1.4817599045337217e-07,131660560.18307106,4736706.8820821475
2024-05-14 00:00:00,1.5098332612830293e-07,134130663.09729578,7488427.845240442
2024-05-15 00:00:00,1.411030616214099e-07,125132359.10977529,6405312.877708767
2024-05-16 00:00:00,1.6846560875993769e-07,149625266.4579867,12238001.442970583
2024-05-17 00:00:00,1.5841609408319352e-07,140851606.0073125,11152420.245349657
2024-05-18 00:00:00,1.5892819326625148e-07,141167657.92326003,7716297.381464573
2024-05-19 00:00:00,1.5412822741043362e-07,136732815.6788236,4919753.900072418
2024-05-20 00:00:00,1.4579466450685667e-07,129188948.75963858,4659761.328006377
2024-05-21 00:00:00,1.652813677012508e-07,146744638.81582603,7583444.109342243
2024-05-22 00:00:00,2.094443368392903e-07,185749814.08825824,31409792.43533715
2024-05-23 00:00:00,2.0717274473550777e-07,183324426.1368569,22867979.03728808
2024-05-24 00:00:00,1.924609056166465e-07,170585851.86024687,16563731.21383412
2024-05-25 00:00:00,1.8239108158931117e-07,162070904.7154269,10623528.23233179
2024-05-26 00:00:00,2.0024174275298658e-07,177379565.85444406,8176414.695551183
2024-05-27 00:00:00,1.9854273355394503e-07,176200059.81501502,8160638.947423871
2024-05-28 00:00:00,2.278078655094903e-07,202547325.5175619,16560361.309379809
2024-05-29 00:00:00,2.8022139624879516e-07,249274091.50111774,69811348.17251165
2024-05-30 00:00:00,2.455522074264774e-07,217990126.1286668,55483094.907305844
2024-05-31 00:00:00,2.492283825886117e-07,221471102.09218895,32446082.761838567
2024-06-01 00:00:00,2.37742344030725e-07,211759962.1252853,26754736.308033954
2024-06-02 00:00:00,2.3105201829673616e-07,204505188.02743807,12911830.249266567
2024-06-03 00:00:00,2.1273909937456276e-07,189045752.7979924,16056900.60007279
2024-06-04 00:00:00,2.4119919933587537e-07,213979095.11980385,34942562.197816335
2024-06-05 00:00:00,2.433105469774844e-07,215974578.84168747,17656701.768367324
2024-06-06 00:00:00,2.531716778571015e-07,225071640.349489,21127157.233723197
2024-06-07 00:00:00,2.3215521864516467e-07,206118496.64990342,12764027.156058962
2024-06-08 00:00:00,2.041466879487846e-07,181471405.07708913,22778262.59620728
2024-06-09 00:00:00,1.83109729354893e-07,162540399.61556196,11972904.466346953
