date,price,market_cap,volume
2024-04-03 00:00:00,73.37776600568677,100567897.99592826,253623.36975504918
2024-04-04 00:00:00,74.23353913738876,101694734.39970294,133304.7609980734
2024-04-05 00:00:00,73.76381745575961,100924104.19577467,174545.08908970703
2024-04-06 00:00:00,73.93784564863356,101464892.9652714,602981.0312149838
2024-04-07 00:00:00,74.78258211791689,102305274.08295842,70457.40457885299
2024-04-08 00:00:00,74.50397983929481,102040568.50516209,72544.78277832466
2024-04-09 00:00:00,75.56005601580814,103225447.58279073,241485.50341335483
2024-04-10 00:00:00,75.86508163063363,103746828.37433116,696845.7388895435
2024-04-11 00:00:00,75.23719208690532,103004367.44076538,243340.67573039568
2024-04-12 00:00:00,76.34913892230665,104621850.49714096,440941.3701104947
2024-04-13 00:00:00,75.21319141050131,102984259.22381252,3024672.6137992814
2024-04-14 00:00:00,75.61395526982537,103202097.77506948,347129.4508610075
2024-04-15 00:00:00,75.86929683779475,103860770.06844586,86368.50719122363
2024-04-16 00:00:00,76.8265113262802,105123947.34562202,613928.6267389348
2024-04-17 00:00:00,77.12435600996761,105396765.83441249,294695.9601443075
2024-04-18 00:00:00,76.17511187434245,104422107.6007895,149436.21005032008
2024-04-19 00:00:00,76.45950292337534,104761713.82943574,552776.114204707
2024-04-20 00:00:00,76.51705080723326,104907807.2344522,319212.31425162865
2024-04-21 00:00:00,77.16920383394894,105632300.68821293,23913.987634129775
2024-04-22 00:00:00,76.94036648234706,105330441.60367054,18552.561619597367
2024-04-23 00:00:00,75.09572596871953,102849015.5118372,259543.4052220715
2024-04-24 00:00:00,74.80036149666198,102374317.05456544,454461.0127382203
2024-04-25 00:00:00,74.511160759932,101954593.81070082,396396.0502359511
2024-04-26 00:00:00,75.08038863258862,102824325.61808984,142150.04830652615
2024-04-27 00:00:00,75.84823316479839,102421972.57075183,1422773.7107908027
2024-04-28 00:00:00,75.19967229783244,102917806.07856978,37920.26743445532
2024-04-29 00:00:00,75.22345720401687,102993843.31820928,13401.045944448779
2024-04-30 00:00:00,75.08871503255018,102895420.87696466,99394.87859390714
2024-05-01 00:00:00,73.75178334148004,101111040.97741102,4208578.304061822
2024-05-02 00:00:00,74.83298612363474,102533743.24586296,92383.70871899105
2024-05-03 00:00:00,74.1047468513733,101484691.11006579,146343.2120867083
2024-05-04 00:00:00,73.69061868343925,100879684.55655494,99055.27288485561
2024-05-05 00:00:00,73.70448883647272,100958112.51665664,17594.450723129827
2024-05-06 00:00:00,73.71952580798563,100845452.63795802,7242.466942116904
2024-05-07 00:00:00,74.84272444030252,102435418.69683066,32996.45058216649
2024-05-08 00:00:00,74.54452124041742,101871308.85906374,1413587.9801676369
2024-05-09 00:00:00,74.37350922412588,101899126.78753015,452563.88599052903
2024-05-10 00:00:00,75.52207307411805,103557409.775863,99715.66519676978
2024-05-11 00:00:00,75.53626465398199,103423329.03242059,194152.42098684344
2024-05-12 00:00:00,75.76918895856794,103726419.26492327,20417.640195102344
2024-05-13 00:00:00,76.5246579044426,104764427.2418154,85896.10208222337
2024-05-14 00:00:00,75.30755910597966,102921234.78257364,889267.2910431966
2024-05-15 00:00:00,75.49858429691434,103980579.92156829,142855.49500227073
2024-05-16 00:00:00,76.99460858277517,105250721.87638289,2160377.2677915585
2024-05-17 00:00:00,76.51567550639041,104767411.5393114,155526.71233990218
2024-05-18 00:00:00,77.01581344231434,105442668.62506735,203801.10660594664
2024-05-19 00:00:00,78.06470184154837,106789121.11536476,27808.906339697172
2024-05-20 00:00:00,77.5933509745459,106229690.48709819,125194.08228522376
2024-05-21 00:00:00,78.03040593617287,106831706.57169087,139037.61506330644
2024-05-22 00:00:00,78.09588765144217,106863658.93347973,340233.6910327205
2024-05-23 00:00:00,76.59183953934854,104997628.98585074,376549.564505462
2024-05-24 00:00:00,75.19927601391792,103029170.69543017,186160.15551360315
2024-05-25 00:00:00,75.63734047106996,103304956.83091947,191892.14693838826
2024-05-26 00:00:00,74.76453039638422,102349133.38753645,80832.89632663221
2024-05-27 00:00:00,75.2924105475467,103474943.49260117,17257.82385525935
2024-05-28 00:00:00,75.4184435253259,103248165.84065121,121325.30016077163
2024-05-29 00:00:00,76.4857316638151,104758238.7876975,161714.5909845323
2024-05-30 00:00:00,75.24568170624578,102998748.70870447,74681.64792883265
2024-05-31 00:00:00,75.49720593308723,103282555.91628024,172164.40715435735
2024-06-01 00:00:00,74.96408432168104,102615255.75416964,297244.48335592495
2024-06-02 00:00:00,74.76832761003345,102367236.29263227,43514.42453713498
2024-06-03 00:00:00,74.73732749377172,102378048.615891,32281.33248382459
2024-06-04 00:00:00,75.31546840417322,103125444.08872776,113220.81220893167
2024-06-05 00:00:00,75.0091412826582,102671909.6628221,129571.59491857722
2024-06-06 00:00:00,76.05099220227558,104211870.03276181,143384.73585481738
2024-06-07 00:00:00,76.01438341677937,104033290.4851981,797367.2802696037
2024-06-08 00:00:00,73.54042778192128,100701984.06668273,163161.38590496377
2024-06-09 00:00:00,73.69820879162421,100875162.84270474,42895.78060722684
2024-06-10 00:00:00,74.14577727622817,101519015.21247704,58019.57705961364
2024-06-11 00:00:00,74.37966657366968,101656688.81692298,187575.84059715492
2024-06-12 00:00:00,74.76298042822738,102374873.71124518,214218.41061760313
2024-06-13 00:00:00,74.96984878049254,102654127.63048545,134149.06956609743
2024-06-14 00:00:00,74.05748333602165,101431578.05360226,195721.56933718213
2024-06-15 00:00:00,74.74551496848844,102321007.33762088,108857.13033867495
2024-06-16 00:00:00,75.34912463092316,103148423.03917632,49086.09884850551
